,Title,Authors,referencia,Abstract,Author Keywords,fonte
artivo405,"""Perspectivas sociais e dominação simbólica""","""Miguel_ Luis""","""Revista de Sociologia e Política, Jun 2010, Vol.18(36), p.25 [Periódico revisado por pares]""","""O artigo trata da participação política das mulheres e de sua presença no poder político. Nessa temática, discute a tensão entre o potencial emancipacionista prometido pela incorporação de múltiplas perspectivas ao debate político e a ação reprodutora do campo. Partindo das causas que, a nosso ver, são responsáveis pela relativa ausência de mulheres dos círculos decisórios e por seu ""desinteresse"" pela política, discutimos as perspectivas orientadas, de uma forma ou de outra, para a solução (melhoramento) dessa situação. O artigo organiza-se em três seções. Na primeira, defende-se a posição de que a via mais promissora para justificar a necessidade de presença das mulheres passa pelo entendimento de que os espaços de deliberação devem abrigar uma pluralidade de perspectivas sociais relevantes - um conceito associado, sobretudo, à obra da teórica estadunidense Iris Marion Young. Na segunda, discute-se alguns problemas desse conceito, em especial, certa ingenuidade que marca um ideal dele... © """,,"""ProQuest"""
artivo406,"""O DESAFIO DO BABACU (ORBIGNYA SPECIOSA MART. EX SPRENG) NO PIAUI""","""Silva_ Antonio Joaquim Da | Araujo_ Jose Luis Lopes | de Barros_ Roseli Farias Melo""","""Quaestio Iuris, 2017, Vol.10(2), p.1226(18) [Periódico revisado por pares]""","""O objetivo da presente pesquisa consiste em responder a seguinte pergunta: como deve ser o tratamento institucional para a protecao dos direitos humanos de pessoas com deficiencia mental no contexto brasileiro? A pesquisa adotou o metodo descritivo-analitico, com aportes teoricos em bibliografia especializada e analise comparativa. O presente estudo aborda, ainda, uma das mais emblematicas situacoes na historia da saude psiquiatrica brasileira; o Hospital Psiquiatrico Colonia, que abrigou centenas de esquecidos e marginalizados sociais, em um sistema de internacao cujo tratamento oferecido aos pacientes jamais se compatibilizou com a reinsercao proposta, distanciando-se, por completo, das nocoes mais elementares de protecao dos direitos humanos. Conclui-se que a protecao dos direitos humanos no contexto psiquiatrico brasileiro depende da implementacao de politicas publicas consistentes e continuadas, alem da nova interpretacao da norma atinente a materia, superando a perspectiva simbolica de mera base retorica de direitos.""","""Politicas Publicas; Pessoa com deficiencia mental; Direitos humanos; Hospital Psiquiatrico Colonia; Instituicoes""","""Cengage Learning"""
artivo407,"""Preterito imperfeito da advocacia pela transformacao social""","""Cardoso_ Evorah""","""Direito e Praxis, 2019, Vol.10(1), p.543(28) [Periódico revisado por pares]""","""This essay is a balance of more than 200 interviews with different public and civil society actors in Brazil and Latin America on different forms of lawyering for social change, as a result of global agendas and native practices that intersect,--strategic, structural and mass litigacion, pro bono and popular lawyering,--and their receptiveness to actors in the justice system. Keywords: Strategic litigation; Popular lawyering; Pro bono lawyering. Este ensaio e um balanco de mais de 200 entrevistas com diferentes atores publicos e da sociedade civil, no Brasil e America Latina, sobre diferentes formas de advocacia pela transformacao social, fruto de agendas globais e praticas nativas que se entrecruzam, litigio estrategico, estrutural, em massa, advocacia pro bono e a advocacia popular,--e sua receptividade por atores do sistema de justica.""","""Litigio estrategico; Advocacia popular; Advocacia pro bono""","""Cengage Learning"""
artivo408,"""POLÍTICAS PÚBLICAS E DESIGUALDADE DE GÊNERO NA SOCIEDADE BRASILEIRA: CONSIDERAÇÕES SOBRE OS CAMPOS DO TRABALHO, DA POLÍTICA E DA CIÊNCIA""","""Do Nascimento_ Janaína""","""Mediaçðes, Jul-Dec 2016, Vol.21(1), pp.317-337 [Periódico revisado por pares]""","""The present text focuses on issues of gender inequality and public policy in Brazil today. My major goals are as follows: 1) to provide an analysis of gender inequality in Brazilian society through an examination of the three key arenas of labor, political representation and science and 2) to examine both the advances and the challenges that persist in confronting inequality through public policies on gender. To these ends, I employ secondary data, obtained from three different official sources (IBGE, TSE and CNPq). Lastly, I argue that while the policies that have been implemented can be linked to significant progress in the three above-mentioned arenas, we are still quite far from a real reversal of the current situation of deep inequality, persisting, above all, in the field of political representation.""",,
artivo409,"""DA CRIACAO DAS DEAM'S A LEI MARIA DA PENHA: UMA REFLEXAO SOBRE A QUESTAO DA VIOLENCIA CONTRA AS MULHERES""","""Oliveira_ Rosane Cristina | de Cassia Pinheiro Lima_ Jacqueline | Arana_ Andressa Maria Freire Da Rocha""","""Revista Artemis, 2017, Vol.24(1), p.201(13) [Periódico revisado por pares]""","""In the domestic sphere, gender violence rates are alarming and it is estimated that in Brazil, even after the institutionalization of the Bureau of Assistance to Women (1985) and Law 11.340/06 (Maria da Penha Law) in August 2006, cases of domestic violence especially against women showed no significant drop. This work aims to discuss gender violence from a cultural perspective (especially tackling the issue of machismo and patriarchy under which Brazilian society took root from colonial times), given the high rates of violent acts against women. The research presented here is divided into two stages: bibliographical discussion on the gender violence and, after that, an analysis of the latest data on gender violence produced by IPEA, Balance 2013, 2014, 2015 e 2016--Dial 180 (Center for Assistance to Women), Institute Patricia Galvao and SUS. Keywords: Gender. Violence. Patriarchy. No espaco domestico, os indices de violencia de genero sao alarmantes... """,,"""Cengage Learning"""
artivo410,"""Profile of demand and Continuous Cash Benefits (BCP) granted to children diagnosed with microcephaly in Brazil""","""Pereira_ Everton | Pacheco Santos_ Leonor""","""Ciência & Saúde Coletiva, Nov 2017, Vol.22(11) [Periódico revisado por pares]""","""The Brazilian Federal Constitution of 1988 introduced the Continuous Cash Benefits (BCP), allowing the inclusion of people with disabilities. This is a descriptive study with aggregate municipal data about the time and geographic distribution of the incidence of microcephaly related to the Zika virus in Brazil and data of the BCP grants to children diagnosed with microcephaly. Data on the demand and BCP grants to children with microcephaly since 2009 are shown. Cases of microcephaly and/or central nervous system disorders were obtained from the Ministry of Health and totaled 2,366 confirmed cases from January 1, 2015 to December 31, 2016. The historical series of BCP granted from 2009 to 2016 was based on data from the National Institute of Social Security and showed, until 2014, a baseline with an average of 200 annual benefits for children younger than 48 months with microcephaly. In 2016, grants increased eight times, reaching 1,603 benefits granted to children of 731 municipalities... © """,,"""ProQuest"""
artivo411,"""Interethnic variability and admixture in Latin America--social implications""","""Salzano_ Francisco M-""","""Revista de Biologia Tropical, Sept, 2004, Vol.52(3), p.405(11) [Periódico revisado por pares]""","""""",,"""Cengage Learning"""
artivo412,"""Homoaffectivity and Human Rights""","""Mott_ Luiz""","""Estudos Feministas, 2006, Vol.14(2), p.509 [Periódico revisado por pares]""","""The civil union between persons of the same sex is analyzed in this essay through the discussion of the roots of the anti-homosexual prejudice and the fight for the citizenship of gays, lesbians and transgenders in Brazil, and through listing the different manifestations of homofobia in our social environment.... © """,,"""ProQuest"""
artivo413,"""The Contribution of Revista Estudos Feministas to Gender and Feminist Debates""","""Luzinete Simões Minella""","""Estudos Feministas, 2004, Vol.12, p.223 [Periódico revisado por pares]""","""This article proposes a reflection on the contribution of Revista Estudos Feministas (REF) to the gender and feminist debate, considering a synthesis of the texts issued in 1999 and 2000, the first two years of the period in which REF is being edited in Universidade Federal de Santa Catarina. This synthesis... © """,,"""ProQuest"""
artivo414,"""OS CIRCUITOS DE TRABALHO INDÍGENA: POSSIBILIDADES E DESAFIOS PARA ACADÊMICOS E PROFISSIONAIS KAINGANG NA GESTÃO DAS POLÍTICAS PÚBLICAS""","""Do Amaral_ Wagner | Rodrigues_ Michelle | Bilar_ Jenifer""","""Mediaçðes, Jul-Dec 2014, Vol.19(2), pp.129-145 [Periódico revisado por pares]""","""The work of indigenous professionals graduated by Brazilian public universities is a recent phenomenon being the State of Parana pioneering in the implementation of such actions since 2002. This work is a result of researches conducted to reflect on the... © """,,"""ProQuest"""
artivo415,"""NO UNDERSKIRTS IN AFRICA: EDISON CARNEIRO AND THE ""LINEAGES"" OF AFRO-BRAZILIAN RELIGIOUS ANTHROPOLOGY 1""","""Maggie_ Yvonne""","""Sociologia & Antropologia, Apr 2015, Vol.5(1), pp.101-127 [Periódico revisado por pares]""","""The article presents the folklorist, essayist, journalist and anthropologist Edison Carneiro (1912-1972) and situates him among the ""lineages"" or intellectual affiliations in the context of studies on Afro-Brazilian religious groups. Describing the life of Edison Carneiro, his relationship with American... © """,,"""ProQuest"""
artivo416,"""Existencia e Diferenca: O Racismo Contra os Povos Indigenas/Existence and difference: racism against indigenous peoples""","""Milanez_ Felipe | Sa_ Lucia | Krenak_ Ailton | Cruz_ Felipe Sotto Maior | Ramos_ Elisa Urbano | de Jesus_ Genilson Dos Santos ""Taquary Pataxo""""","""Direito e Praxis, 2019, Vol.10(3), p.2161(21) [Periódico revisado por pares]""","""Este artigo discute um dos aspetos mais invisibilizados do racismo no Brasil: o caso do racismo contra os povos indigenas. Na primeira parte, discute-se o vazio na literatura sobre o racismo contra indigenas. Em seguida, sao apresentados depoimentos e reflexoes de carater pratico e teorico sobre racismo por parte de de autores indigenas. A pesquisa se baseia em dois encontros com intelectuais, artistas e liderancas indigenas para discutir o tema do racismo.""","""Racismo; Povos indigenas; Diferenca This article discusses one of the most invisible aspects of racism in Brazil racism against indigenous peoples The first part focuses on the gaps about the topic in the literature about racism in Brazil The following sections present some personal experiences and discussions on the topic of racism from the point of view indigenous persons The research is based on two meetings with indigenous intellectuals, artists, and leaders from various""","""Cengage Learning"""
artivo417,"""Beyond the Quilombo? The State of Zumbi's ""Palmares"" According to the Poets.(Critical essay)""","""Duke_ Dawn""","""Obsidian: Literature in the African Diaspora, 2012, Vol.13(1), p.37 [Periódico revisado por pares]""","""""",,"""Cengage Learning"""
artivo418,"""Mulheres brasileiras e militancia politica durante a ditadura militar: a complexa dinamica dos processos identitarios""","""Gianordoli - Nascimento_ Ingrid Faria | Araujo Trindade_ Zeidi | De Fatima De Souza Santos_ Maria""","""Revista Interamericana de Psicologia, Sept, 2007, Vol.41(3), p.359(12) [Periódico revisado por pares]""","""O periodo da ditadura militar, instaurada no Pais em 1964 e que perdurou ate 1985, marcado por uma sucessao de mudancas politicas, economicas e sociais, caracterizou-se tambem pela gradativa e intensa repressao politico-social aos seus opositores. Nesse cenario, destaca-se a militancia politica de mulheres opositoras ao regime. Buscamos nessa investigacao focalizar os aspectos psicossociais, principalmente aqueles relacionados aos processos identitarios, implicados na interconexao entre relacoes de genero e campo politico na militancia de mulheres contra a ditadura militar brasileira, entre os anos de 1964 e 1985. Com esse objetivo, foram realizadas entrevistas individuais com 09 mulheres que participaram de organizacoes que possuiam uma clara posicao de resistencia ao regime autoritario entre os anos de 1964 e 1973. A analise dos dados aponta que transformando o contexto social e sendo por ele transformadas, essas mulheres, entao, tanto no campo da politica quanto no das relacoes de genero, romperam com codigos tradicionais de conduta e propuseram, em seus lugares, formas alternativas de viver a condicao feminina. Palavras-Chave: Psicologia Social; identidade social; genero; Ditadura militar; militancia.""",,
artivo419,"""Estudos preliminares sobre acao afirmativa em uma universidade federal""","""De Sao Paulo_ Eduardo""","""Revista de Administracao Mackenzie, 2010, Vol.11(3), p.27(19) [Periódico revisado por pares]""","""Na qualidade de signatario da Conferencia Mundial Contra o Racismo, Discriminacao, Xenofobia e outras formas de Intolerancia, o Brasil se comprometeu com mecanismos para promocao da igualdade. Como consequencia, diversos programas governamentais foram concebidos, buscando a inclusao social de afrodescendentes na educacao superior. De fato, a quantidade de tais estudantes na academia e minima e nao se aproxima do que pode ser observado na populacao como um todo. Como exemplo desse esforco, a Universidade de Brasilia (UnB) comecou um programa de acao afirmativa com o objetivo de incluir 20% de seus calouros como representantes dos grupos raciais minoritarios. Essa politica iniciou-se em agosto de 2004. O presente estudo buscou investigar as percepcoes de alunos e do publico em geral sobre tal politica. Um instrumento baseado parcialmente na Escala de Racismo Moderno de McConahay (1986) foi administrado a uma amostra de 316 alunos. A Analise Fatorial (AF) extraiu fatores correspondentes a 48% da variancia total explicada. Executou-se a Analise de Variancia (Anova) para melhor compreensao dos dados no que se refere a idade e ao genero dos sujeitos. Os resultados apontam que, apesar de os estudantes demonstrarem interesse no processo de implantacao de programas de acao afirmativa e estarem conscientes da relevancia de tais procedimentos para a estrutura social e cultural da comunidade, nao existe concordancia quanto as suas razoes e medidas tomadas ou com a propria existencia do problema.""","""Acao afirmativa; Racismo; Medidas de racismo; Inclusao social; Educacao superior""","""Cengage Learning"""
artivo420,"""UM RECENTE MOVIMENTO POLÍTICORELIGIOSO: FEMINISMO ISLÂMICO""","""Lima_ Cila""","""Estudos Feministas, 2014, Vol.22(2), pp.593-616 [Periódico revisado por pares]""","""O presente artigo tem como objetivo principal apresentar um painel da origem e dasprincipais formulações teóricas do feminismo islâmico, movimento político-religioso de luta contra a opressão e a dominação sobre a população de mulheres presente em países muçulmanos e em diásporas muçulmanas. Ele é concebido aqui lato sensu como uma atuaçãofeminista associada à reinterpretação das fontes religiosas do Islã, baseado nos conceitosislâmicos de ijtihad (interpretação livre e racional das fontes religiosas) e de tafsir (comentários sobre o Alcorão), para repensar a posição da mulher na sociedade muçulmana. Nesse sentido,serão abordados dois países-chave na construção dos feminismos no Oriente Médio, Egito eTurquia.""",,
artivo421,"""O MULTICULTURALISMO COMO FILOSOFIA POLITICA: CAMINHOS PARA UMA JUSTICA SOCIAL ""","""Da Silveira_ Adinan Rodrigues | Nepomuceno_ Augusto Moutella""","""Revista de Teorias e Filosofias do Estado, 2016, Vol.2(1), p.70(22) [Periódico revisado por pares]""","""O trabalho se refere ao estudo da doutrina da filosofia politica denominada multiculturalismo. A necessidade de compreender a sociedade contemporanea, fez com que se optasse por investigar as teorias que fundamentam as principais reivindicacoes formuladas pelos grupos vulneraveis ou minoritarios. O problema que se pretende responder e: Como garantir a aplicacao dos direitos fundamentais numa sociedade plural, reconhecendo as particularidades de grupos minoritarios e promovendo acoes para se alcancar a igualdade material? A hipotese e de que o multiculturalismo traz a possibilidade de refletir sobre essas questoes e oferece um novo olhar para enfrentar os conflitos sociais do seculo XXI.""","""Multiculturalismo, Direito de minorias, Liberais, Comunitarios, Politicas de reconhecimento""","""Cengage Learning"""
artivo422,"""Os desafios de um projeto de prevenção à violência e à criminalidade: o Mulheres da Paz em Santa Luzia/MG""","""Dos Santos_ Simone | Silveira_ Andréa""","""Estudos Feministas, 2015, Vol.23(1), pp.99-118 [Periódico revisado por pares]""","""Esta pesquisa focalizou o projeto Mulheres da Paz que visava prevenir a violência por meio da capacitação de mulheres da comunidade para identificar e para encaminhar jovens em situação de risco à rede de proteção social. Analisou a implementação desse projeto no município de Santa Luzia, Minas Gerais, a apartir de entrevistas com gestores/as e com mulheres participantes, aplicação de questionários e pesquisa documental. Encontrou dificuldades quanto à ausência de gestão descentralizada e intersetorial de políticas públicas e de apoio aos/às gestores/as, à incapacidade burocrática de prover os recursos para o projeto e à descontinuidade do financiamento. Contudo, pôde constatar que o modelo mostrou-se bem sucedido na identificação de situações de risco e no empoderamento das mulheres em suas comunidades.""",,
artivo423,"""OS DIREITOS COLETIVOS NA CORTE INTERAMERICANA DE DIREITOS HUMANOS: O CASO DA COMUNIDADE INDIGENA YAKYE AXA V. PARAGUAI""","""Batista_ Michelle""","""Revista Thesis Juris, 2017, Vol.6(2), p.262(18) [Periódico revisado por pares]""","""The purpose of the study is to verify if, in the Inter-American Human Rights System, through the Inter-American Court of Human Rights (IACHR) the cases that involve collective interests/rights can be effectively judged without specific instruments of collective process. The bibliographic search involves the investigation of the collective rights treatment evolution, using Brazilian collective process instruments as a parameter. The case of the indigenous community Yakye Axa against Paraguay, judged in 2010 by the IACHR, was chosen to be analyzed through official documents. The study demonstrates that the procedure of the IACHR is satisfactory in cases that involve collective rights.""","""Inter-American Human Rights System Yakye Axa Collective rights Com o intuito de verificar se no Sistema Interamericano de Direitos Humanos, atraves da Corte Interamericana de Direitos Humanos (CIDH) ha uma resposta satisfatoria quando sao julgados casos""","""Cengage Learning"""
artivo424,"""""Nem tudo e sobre raca"": evadindo o debate sobre racismo no marco juridico-politico latino-americano""","""Coelho_ Luana Xavier Pinto""","""Direito e Praxis, 2019, Vol.10(3), p.1981(26) [Periódico revisado por pares]""","""""Nem tudo e sobre raca"" e a frase que sintetiza os debates sobre o projeto para a Convencao Interamericana contra o Racismo e todas as formas de discriminacao. Apesar da Declaracao de Durban mostrar-se como um marco juridico-politico por reconhecer a relacao entre colonialismo, escravizacao e racismo, ao analisar os documentos produzidos para o grupo de trabalho no ambito da Organizacao de Estados Americanos (OEA) em periodo imediatamente posterior, conclui-se que o impacto no discurso oficial dos Estados latino-americanos parece limitado. Ao recorrer a discursividade juridica da nao discriminacao, silencia-se o historico colonial e escravista, ao mesmo tempo que esvazia a dimensao estrutural do racismo na regiao.""",,
artivo425,"""O LUGAR DA ORALIDADE NO ESPACO DA ESCRITA: DESAFIOS PARA EDUCACAO ESCOLAR INDIGENA GUARANI MBYA--RJ""","""Fernandes_ Gabriela Nunes | de Souza_ Kelly Cristina Russo""","""Periferia, 2018, Vol.10(2), p.21(23) [Periódico revisado por pares]""","""Este artigo discute a relacao entre oralidade e escrita na educacao escolar indigena a partir da perspectiva de uma professora Guarani, que atua ha mais de dez anos na educacao escolar de seu povo. Trata-se de uma pesquisa qualitativa e os instrumentos metodologicos foram: levantamento bibliografico, observacao participante em encontros de formacao de professores Guarani e realizacao de entrevista. De acordo com as analises realizadas e possivel considerar que os desafios em torno da oralidade e da escrita no contexto da educacao escolar indigena precisam ser compreendidos como uma tensao intercultural permanente centrada nas reflexoes e praticas de professores indigenas.""","""educacao escolar indigena; oralidade e escrita; professor/a indigena""","""Cengage Learning"""
artivo426,"""A CAUSA E AS POLÍTICAS DE DIREITOS HUMANOS NO BRASIL ""","""Engelmann_ Fabiano""","""Caderno CRH, Sep/Dec 2015, Vol.28(75), pp.623-637 [Periódico revisado por pares]""","""Pretende-se analisar a emergência e consolidação da causa dos direitos humanos no Brasil nas últimas décadas. O argumento principal é que o movimento dos direitos humanos emerge, como em outros contextos da América latina, a partir da contestação do regime militar-autoritário e consolida-se a partir... © """,,"""ProQuest"""
artivo427,"""Avaliação da organização estrutural das vigilâncias sanitárias municipais de uma Região de Saúde de Pernambuco""","""Ewerton Handerson Figueiredo de Medeiros""","""Physis, 2017, Vol.27(3), pp.561-578 [Periódico revisado por pares]""","""This study aimed to evaluate the organizational structure of the health surveillance of 11 municipalities that are included in the 10th health region of Pernambuco State, Brazil. This is a descriptive and qualitative research that had as subjects 11 health coordinators. We used the interview technique...""",,
artivo428,"""Fatores Legitimadores da Discriminacao: Uma Revisao Teorica.(Originais/Artigos)(Ensayo)""","""Roberto Pereira_ Cicero | Cunha de Souza_ Luana Elayne""","""Psicologia: Teoria e Pesquisa, 2016, Vol.32(2) [Periódico revisado por pares]""","""O presente artigo apresenta uma revisao teorica sobre os fatores legitimadores da discriminacao identificados em teorias classicas da Psicologia Social. Nesse sentido, analisamos como esses mecanismos sao tratados em quatro perspectivas teoricas: as diferencas individuais; os conflitos de interesses; o processo de categorizacao; e os processos identitarios. Orientamos nossa analise seguindo a ideia de que as teorias analisadas tem explicado a discriminacao ""intergrupal"" recorrendo a fatores legitimadores das desigualdades sociais, ainda que a referencia a esses fatores nao tenha sido feita de forma explicita. Finalmente, propomos que o recurso a fatores justificadores da discriminacao representa o mecanismo atraves do qual o preconceito leva a discriminacao, sendo as percepcoes de ameaca realista e simbolica alguns dos importantes fatores legitimadores da discriminacao.""","""preconceito, discriminacao social, atitudes, legitimacao""","""Cengage Learning"""
artivo429,"""De ""luta do barro"", ""isso do barro"", ""nesse servico"" a ceramica de apiai""","""Waldeck_ Guacira""","""Textos Escolhidos de Cultura e Arte Populares, 2014, Vol.11(1), p.107(22) [Periódico revisado por pares]""","""O artigo descreve uma experiencia de intervencao, de 2002 a 2003, na Casa do Artesanato Municipal de Apiai, no Vale do Ribeira, estado de Sao Paulo, como parte das atividades empreendidas pelo Centro Nacional de Folclore e Cultura Popular no Programa Artesanato Solidario, acao de rede de parceiros voltada, sobretudo, para a acao direta em coletividades artesanais, no sentido de proporcionar condicoes a continuidade das atividades. Em lugar de atuar diretamente em bairros rurais, o objetivo foi demarcar simbolicamente os espacos de venda e de guarda e exibir os diversos objetos adquiridos para a colecao desde os anos 70. Uma das vertentes da narrativa do espaco de exibicao consistiu em expor parte do material informativo, fotos e textos de diferentes colecoes publicas e privadas. COLECIONAMENTO; EXIBICAO; CASADOARTESANATO MUNICIPAL DE APIAI; PROGRAMA ARTESANATO SOLIDARIO. """,,"""Cengage Learning"""
artivo430,"""Direitos humanos, transexualidade e ""direito dos banheiros""""","""Rios_ Roger Raupp | Resadori_ Alice Hertzog""","""Direito e Praxis, 2015, Vol.6(3), p.196(32) [Periódico revisado por pares]""","""Esse artigo trata do direito de transexuais femininas utilizarem banheiros femininos. Diante da relevancia constitucional reconhecida pelo Supremo Tribunal Federal, procede-se, com o aporte do debate juridico estadunidense, a analise dos argumentos invocados, concluindo-se pelo direito a utilizacao de banheiros publicos femininos por transexuais femininas e pela incompatibilidade de alternativas que proponham banheiros especificos para transgeneros.""","""Direitos humanos Transexualidade Banheiro publico feminino""","""Cengage Learning"""
artivo431,"""Humanidades na UFABC: producao do conhecimento interdisciplinar na pos-graduacao""","""Penteado_ Claudio Luis de Camargo | Da Silva_ Sidney Jard | Da Fonseca_ Karen Christina Dias""","""Revista Brasileira de Pos-Graduacao, 2015, Vol.12(28), p.475(26) [Periódico revisado por pares]""","""O presente artigo tem por finalidade estudar a construcao da interdisciplinaridade na Universidade Federal do ABC (UFABC), mais especificamente na area de Humanidades. Nascida com uma proposta inovadora, a UFABC tem como uma das suas principais caracteristicas academicas a producao do conhecimento interdisciplinar. A partir da analise dos dois programas pioneiros nas areas de Ciencias Humanas e de Ciencias Sociais Aplicadas, o Programa de Ciencias Humanas e Sociais (PCHS) e o Programa de Planejamento e Gestao do Territorio (PGT), este artigo apresenta uma avaliacao da pratica interdisciplinar com base em tres elementos: I) linhas de pesquisa; II) perfil de formacao do quadro docente e III) producoes em coautoria. Os resultados indicam que, em ambos os programas, existe producao interdisciplinar, contudo cada programa adota uma perspectiva de interdisciplinaridade especifica. O primeiro--o PCHS--esta centrado no proprio conceito de interdisciplinaridade; o segundo--o PGT--, no conceito de territorio.""","""Universidade Federal do ABC Pos-Graduacao Humanidades Interdisciplinaridade Territorio""","""Cengage Learning"""
artivo432,"""O Supremo Tribunal Federal em uma perspectiva de genero: merito, acesso, representatividade e discurso.(texto en portugues)(Ensayo)""","""Gomes_ Juliana Cesario Alvim""","""Direito e Praxis, 2016, Vol.7(3), p.652(25) [Periódico revisado por pares]""","""O artigo pretende analisar o comportamento do Supremo Tribunal Federal perante questoes de genero, nao apenas sob o ponto de vista das decisoes de merito que compoem a jurisprudencia da Corte sobre o tema, mas tambem no que tange a aspectos como acesso, composicao e discurso. Assim, pretende-se propor, de maneira abrangente, novos caminhos para a analise da contribuicao do tribunal para a protecao e a promocao dos direitos fundamentais relacionados ao genero.""","""Supremo Tribunal Federal Genero Mulheres""","""Cengage Learning"""
artivo433,"""POLÍTICAS PÚBLICAS PARA COMUNIDADES QUILOMBOLAS: uma luta em construção""","""André Ricardo Fonseca Da Silva""","""Politica & Trabalho, 2018, Issue 48, pp.115-128 [Periódico revisado por pares]""","""O presente artigo trata da construção de políticas públicas para comunidades quilombolas, dialogando com a história dos africanos, a partir da travessia do Atlântico, com o interesse do capital no modo de produção escravocrata, que fora muito usado no... © """,,"""ProQuest"""
artivo434,"""Perspectivas Teoricas do Reconhecimento de Identidades Sexuais Frente aos Direitos Humanos e ao Direito Fraterno""","""Gimenez_ Charlise Paula Colet | Martins_ Paulo Adroir Magalhaes | Angelin_ Rosangela""","""Em Pauta, 2013, Vol.11(32), p.249(24) [Periódico revisado por pares]""","""O artigo traz reflexoes acerca das experiencias de coletivos de mulheres a partir da realidade das militantes do Movimento dos Trabalhadores Rurais sem Terra (MST) nos assentamentos Adao Preto e Pip-Nuk, em Nova Venecia, ao norte do Espirito Santo. Considerase essencial entender estas atividades na busca da melhoria na qualidade de vida das familias assentadas. Com isso, pretendeu-se discutir como potencializar estas experiencias e propiciar formas de articulalas e organizar suas demandas. Para tanto, buscou-se ampliar o debate da questao de genero e suas categorias explicativas para a compreensao das relacoes de producao na agricultura, fortalecendo a perspectiva de acesso dos direitos e politicas publicas. A proposta metodologica foi a da pesquisa-acao usando metodologias de diagnostico e planejamento participativas de trabalho popular, com a alternancia de espacos de diagnostico e reflexao teorica com acoes que potencializassem a formacao e a troca de experiencias entre as mulheres.""","""genero; questao agraria; movimentos sociais populares""","""Cengage Learning"""
artivo435,"""THE COLOR OF CHILD MORTALITY IN BRAZIL, 1950-2000: Social Progress and Persistent Racial Inequality""","""Wood_ Charles | de Carvalho_ José | Horta_ Cláudia""","""Latin American Research Review, 2010, Vol.45(2), pp.114-139,268,271,273 [Periódico revisado por pares]""","""Now that racism has been officially recognized in Brazil, and some universities have adopted affirmative-action admission policies, measures of the magnitude of racial inequality and analyses that identify the factors associated with changes in racial disparities over time assume particular relevance... © """,,"""ProQuest"""
artivo436,"""Feminisms from the Perspective of Afro-Brazilian Women""","""Cardoso_ Cláudia""","""Meridians, 2016, Vol.14(1), pp.1-29 [Periódico revisado por pares]""","""This article was written on the basis of interviews with 22 Afro-Brazilian activist women. It uses research on their trajectories to show how, as political subjects, they have used inequalities based on class, race, gender, and sexuality as instruments for the construction of an identity as activists in Black women's movements and for building the movement as a place for protagonism and for experiences that successfully challenge the powers that be. Furthermore, the article explores Brazilian feminist discourse, as it is recreated through the specific demands of Black women. The concept of feminism was first appropriated on Brazilian soil by educated white middle-class women who, in the process, built a particular history in which poor and Black women found little room to express their needs. Black women have been developing a critique of this appropriation since the initial debates on this issue began in the 1970s and 1980s. They have pointed to the inadequacy of a certain feminism that... © """,,"""ProQuest"""
artivo437,"""Modelo analitico de processo estrategico: aplicacao no episodio de criacao da escola de artes, comunicacao e humanidades (EACH) da USP/Modelo analitico de proceso estrategico: aplicacion en el episodio de creacion ...(Artigo--Administracao Geral)""","""Palacios_ Fernando Antonio Colares""","""Revista de Gestao USP, 2014, Vol.21(4), p.449(19) [Periódico revisado por pares]""","""O objetivo do artigo e compreender o processo estrategico da criacao de uma nova unidade em uma universidade publica, por meio de um modelo analitico desenvolvido pelo autor. O estudo esta fundamentado na gestao estrategica de organizacoes universitarias, com enfoque no processo de formacao de estrategias nesse tipo de organizacao. Trata-se de um estudo de caso que teve como foco de analise o evento de criacao e implantacao da Escola de Artes, Ciencias e Humanidades (EACH), da Universidade de Sao Paulo (USP), a partir de seu Projeto Estrategico Institucional, em um periodo compreendido entre 2002 e 2009. Os dados foram coletados junto as seguintes fontes: dados organizacionais, observacoes nao participantes e entrevistas com base em narrativas com quinze gestores e professores. A analise revela que a estrategia se desenvolveu a partir de uma intencao inicial--expansao do acesso, mas mantendo a qualidade uspiana--da qual foram desencadeadas acoes pelos gestores envolvendo agentes de diversas unidades da USP, uma bem-sucedida forma de gerenciar a cultura e promover a disseminacao de significado da nova estrategia na universidade. Entre as conclusoes principais, cita-se a importancia do papel dos gestores na conducao da estrategia pretendida, caracterizando um tipo de lideranca politica e simbolica.""","""Processo estrategico, Modelo analitico, Universidade publica""","""Cengage Learning"""
artivo438,"""Feminine and Masculine Professions do Exist: Gendered Obstacles to Professional Insertion""","""Paula Viviane Chies""","""Estudos Feministas, 2010, Vol.18(2), p.507 [Periódico revisado por pares]""","""This paper presents an analytical reflection on several gender theories in an attempt to identify the main issues related to women in labor market. The article also discusses some of the gender limitations women have stumbled upon in their professional insertion and in their ascending in their careers. © """,,"""ProQuest"""
